campaign_id,campaign_name,platform,date,country,campaign_objective,ad_type,impressions,clicks,conversions,spend,revenue
CMP00051,New Product Launch,Meta,2026-05-02,USA,Traffic,Video,360989,4901,699,16326.52,76918.24
CMP00052,Flash Sale,Meta,2026-01-07,Saudi Arabia,Awareness,Image,497004,14113,1479,38409.08,272116.07
CMP00053,Black Friday,Meta,2026-08-06,USA,Traffic,Image,368748,18448,497,29112.61,127583.51
CMP00054,Summer Sale,LinkedIn,2026-08-06,UAE,Conversions,Carousel,230231,15350,380,23181.16,107836.31
CMP00055,Flash Sale,Google Ads,2026-07-26,UK,Traffic,Carousel,492144,22325,1734,24513.3,398071.19
CMP00056,Ramadan Offers,Google Ads,2026-07-12,Egypt,Awareness,Story,253641,12108,1253,10753.27,216702.57
CMP00057,Winter Collection,LinkedIn,2026-03-13,Saudi Arabia,Awareness,Carousel,471541,23441,3122,31340.66,509050.18
CMP00058,Brand Awareness,Google Ads,2026-06-15,UK,Lead Generation,Video,383210,16022,1938,9275.88,234890.74
CMP00059,Free Shipping,TikTok,2026-05-16,USA,Awareness,Story,190227,7021,803,6249.2,178618.27
CMP00060,Winter Collection,TikTok,2026-01-31,Saudi Arabia,Conversions,Video,399483,18052,2106,9719.93,223370.86
CMP00061,Ramadan Offers,TikTok,2026-04-03,Egypt,Traffic,Carousel,104079,2879,314,2175.78,12449.2
CMP00062,Summer Sale,TikTok,2026-05-27,Saudi Arabia,Lead Generation,Image,159075,6395,458,3863.18,32393.03
CMP00063,Brand Awareness,LinkedIn,2026-01-19,Egypt,Conversions,Story,312525,16316,285,10034.3,53932.32
CMP00064,Free Shipping,Google Ads,2026-04-08,Egypt,Lead Generation,Video,246199,18006,929,15077.78,167274.26
CMP00065,Ramadan Offers,Meta,2026-03-09,USA,Conversions,Video,356254,3950,172,18126.02,14390.55
CMP00066,Black Friday,LinkedIn,2026-06-30,UAE,Conversions,Video,158225,9133,671,12275.73,256847.27
CMP00067,New Product Launch,Google Ads,2026-08-21,UK,Conversions,Video,149267,10000,199,4426.17,30960.21
CMP00068,Black Friday,TikTok,2026-06-29,UK,Conversions,Story,221030,16732,1339,9368.8,62944.98
CMP00069,Back to School,LinkedIn,2026-02-28,UAE,Awareness,Image,363526,24609,2227,36294.96,859695.22
CMP00070,Brand Awareness,TikTok,2026-05-13,USA,Conversions,Video,351578,13418,656,25250.79,136542.14
CMP00071,Winter Collection,Meta,2026-03-24,UK,Awareness,Story,361342,4641,150,15088.53,31872.1
CMP00072,Back to School,LinkedIn,2026-03-22,USA,Conversions,Story,142329,4162,606,7636.35,156323.75
CMP00073,Free Shipping,LinkedIn,2026-04-03,UK,Conversions,Video,336439,20769,2026,28166.4,215055.59
CMP00074,Summer Sale,TikTok,2026-06-11,UK,Lead Generation,Image,329224,21382,2338,10429.45,97721.01
CMP00075,New Product Launch,Google Ads,2026-05-08,Egypt,Lead Generation,Image,498978,29312,2381,18805.74,916333.63
CMP00076,Ramadan Offers,Google Ads,2026-08-24,UK,Traffic,Story,324246,13980,1860,26535.0,274346.18
CMP00077,Black Friday,LinkedIn,2026-07-05,UAE,Awareness,Image,166529,11292,1029,12533.8,306997.36
CMP00078,Brand Awareness,LinkedIn,2026-08-27,UAE,Awareness,Story,178704,12548,1848,7090.81,355970.99
CMP00079,Eid Offers,LinkedIn,2026-04-09,Egypt,Awareness,Story,357964,23063,2335,11581.17,614227.9
CMP00080,Free Shipping,TikTok,2026-08-22,Egypt,Lead Generation,Image,249561,1535,46,16084.1,11673.72
CMP00081,Winter Collection,TikTok,2026-08-07,UAE,Lead Generation,Image,363557,25249,1595,11642.8,484409.88
CMP00082,Black Friday,Meta,2026-02-28,USA,Conversions,Video,401520,4729,695,25867.54,136439.11
CMP00083,Winter Collection,Google Ads,2026-07-23,UAE,Conversions,Image,39422,1064,66,1108.99,14041.98
CMP00084,Flash Sale,Google Ads,2026-08-11,Saudi Arabia,Traffic,Image,210563,10839,473,17999.76,38975.16
CMP00085,Brand Awareness,TikTok,2026-08-19,UK,Awareness,Image,160801,8976,288,6326.1,44598.46
CMP00086,Ramadan Offers,LinkedIn,2026-04-09,UAE,Lead Generation,Carousel,457393,18863,815,31023.81,230394.38
CMP00087,Summer Sale,TikTok,2026-05-25,Egypt,Lead Generation,Carousel,463544,26160,2988,7587.79,679884.54
CMP00088,Ramadan Offers,TikTok,2026-06-08,Saudi Arabia,Awareness,Video,141400,7894,875,7361.58,282590.24
CMP00089,Flash Sale,Meta,2026-04-04,UAE,Lead Generation,Image,393967,5852,803,14276.08,111216.61
CMP00090,Black Friday,TikTok,2026-08-22,USA,Awareness,Video,442374,33538,4877,13609.98,1786825.56
CMP00091,Eid Offers,LinkedIn,2026-08-05,Egypt,Traffic,Video,431835,20209,457,22818.83,43155.83
CMP00092,Back to School,TikTok,2026-06-22,UAE,Lead Generation,Carousel,132590,5351,517,9105.67,78087.65
CMP00093,Back to School,Meta,2026-02-05,UK,Awareness,Story,33774,2565,134,1588.07,11580.88
CMP00094,Free Shipping,Google Ads,2026-04-18,UK,Lead Generation,Carousel,317935,19289,610,15344.38,42849.35
CMP00095,Ramadan Offers,LinkedIn,2026-04-24,UAE,Conversions,Carousel,243148,18550,2407,6782.73,624132.9
CMP00096,Ramadan Offers,TikTok,2026-02-01,Egypt,Lead Generation,Carousel,454613,30374,693,11778.2,211769.41
CMP00097,Flash Sale,Meta,2026-02-22,UAE,Traffic,Video,45971,3090,270,2441.75,66220.3
CMP00098,New Product Launch,Google Ads,2026-02-03,USA,Conversions,Carousel,293228,6978,240,19547.77,8165.33
CMP00099,New Product Launch,Google Ads,2026-03-09,USA,Awareness,Image,37472,543,37,964.73,2140.45
CMP00100,Free Shipping,TikTok,2026-02-26,USA,Conversions,Story,332493,2743,328,21352.16,64476.09
CMP00101,Eid Offers,Meta,2026-06-25,,Lead Generation,Story,66603,2782,382,1317.2,26461.74
CMP00102,Eid Offers,Meta,2026-06-02,Saudi Arabia,Awareness,Carousel,288164,7814,631,12380.38,138646.91
CMP00103,Eid Offers,Google Ads,2026-03-28,UK,Lead Generation,Video,443805,17313,1181,10810.05,223640.51
CMP00104,Back to School,TikTok,2026-08-01,Saudi Arabia,Lead Generation,Image,54755,656,15,3105.68,4522.69
CMP00105,Eid Offers,TikTok,2026-08-11,Egypt,Lead Generation,Carousel,490165,28958,4215,23833.78,657441.86
CMP00106,Back to School,Google Ads,2026-03-31,Saudi Arabia,Lead Generation,Video,453219,21174,552,17255.4,58195.2
CMP00107,New Product Launch,Meta,2026-03-11,USA,Awareness,Image,378416,23530,3271,14310.38,247407.16
CMP00108,Back to School,LinkedIn,2026-07-11,Egypt,Traffic,Image,288125,6089,418,13918.08,73270.04
CMP00109,Flash Sale,Meta,2026-01-13,Egypt,Traffic,Video,363353,4039,290,15464.65,62768.74
CMP00110,Eid Offers,Google Ads,2026-01-29,USA,Conversions,Carousel,158502,8854,823,8977.29,92891.77
CMP00111,Ramadan Offers,Meta,2026-07-16,Egypt,Traffic,Carousel,81950,5106,257,1868.38,47830.22
CMP00112,Back to School,Google Ads,2026-04-12,UK,Traffic,Carousel,461812,28010,1990,23837.18,113317.62
CMP00113,Black Friday,LinkedIn,2026-01-30,USA,Lead Generation,Story,222353,1459,80,19391.79,22220.87
CMP00114,Ramadan Offers,TikTok,2026-04-22,Egypt,Lead Generation,Image,318738,11166,234,20534.91,52859.15
CMP00115,Winter Collection,Google Ads,2026-03-31,Egypt,Conversions,Video,391356,30082,3019,11071.39,185204.64
CMP00116,New Product Launch,Google Ads,2026-07-17,USA,Traffic,Image,339226,14267,1649,25119.96,370622.11
CMP00117,Back to School,TikTok,2026-05-01,UAE,Traffic,Story,241844,12661,1538,11632.23,170731.31
CMP00118,Winter Collection,LinkedIn,2026-08-01,UK,Conversions,Image,160511,1726,226,14730.46,52348.54
CMP00119,Flash Sale,LinkedIn,2026-06-16,USA,Conversions,Story,108691,3164,242,3505.04,10914.63
CMP00120,Ramadan Offers,TikTok,2026-07-01,Egypt,Traffic,Image,239511,18998,1583,11777.62,302553.9
CMP00121,Winter Collection,LinkedIn,2026-01-17,UK,Awareness,Image,182852,2210,231,7955.97,66803.07
CMP00122,Winter Collection,Google Ads,2026-03-21,UAE,Conversions,Video,353961,20312,1317,21849.78,385866.12
CMP00123,Eid Offers,LinkedIn,2026-05-11,UAE,Traffic,Image,199702,1271,67,19945.0,11339.23
CMP00124,Back to School,Google Ads,2026-03-17,Saudi Arabia,Traffic,Video,452723,29023,2353,26075.88,642984.36
CMP00125,New Product Launch,TikTok,2026-02-11,USA,Traffic,Story,104815,7059,832,6375.8,73134.67
CMP00126,Flash Sale,LinkedIn,2026-03-14,UAE,Traffic,Story,404469,24729,1801,26138.38,290153.22
CMP00127,Brand Awareness,LinkedIn,2026-07-16,Saudi Arabia,Awareness,Story,157729,9993,803,8655.67,59404.99
CMP00128,Winter Collection,Google Ads,2026-05-22,UAE,Conversions,Story,499838,6345,814,40424.23,120989.09
CMP00129,Back to School,TikTok,2026-08-31,UK,Traffic,Story,487366,10552,771,16546.43,27239.26
CMP00130,Winter Collection,TikTok,2026-02-27,Saudi Arabia,Lead Generation,Image,24778,716,17,1370.48,1927.31
CMP00131,Brand Awareness,Meta,2026-04-25,UAE,Lead Generation,Video,332619,1794,37,10522.42,11380.8
CMP00132,Black Friday,LinkedIn,2026-02-01,Egypt,Awareness,Video,35034,801,79,2526.91,5647.23
CMP00133,New Product Launch,LinkedIn,2026-03-16,USA,Conversions,Video,235044,1202,71,15917.43,7665.53
CMP00134,Brand Awareness,TikTok,2026-01-12,Egypt,Conversions,Story,343274,11676,726,19641.46,81020.2
CMP00135,Summer Sale,Google Ads,2026-04-01,Egypt,Awareness,Video,296268,9003,900,23500.33,292521.64
CMP00136,Brand Awareness,LinkedIn,2026-01-10,Saudi Arabia,Traffic,Image,163848,3296,398,15458.94,48606.87
CMP00137,Summer Sale,LinkedIn,2026-07-12,USA,Lead Generation,Carousel,349162,6750,404,29846.76,112028.01
CMP00138,Brand Awareness,Meta,2026-08-18,UAE,Lead Generation,Story,212713,6472,233,12759.47,42248.81
CMP00139,Eid Offers,TikTok,2026-06-04,Egypt,Lead Generation,Image,441143,8176,418,8603.16,51951.54
CMP00140,Brand Awareness,LinkedIn,2026-03-31,USA,Lead Generation,Video,244424,1998,263,12047.97,79468.31
CMP00141,Free Shipping,Meta,2026-07-25,Egypt,Lead Generation,Carousel,403162,22559,3234,9789.04,863121.44
CMP00142,Winter Collection,Meta,2026-04-03,Saudi Arabia,Conversions,Video,210725,16059,233,5262.54,38580.31
CMP00143,Eid Offers,LinkedIn,2026-03-22,Egypt,Traffic,Carousel,350556,9080,1311,7603.45,129415.18
CMP00144,Ramadan Offers,Meta,2026-06-06,UAE,Awareness,Story,159724,9112,1365,4474.12,83401.22
CMP00145,Winter Collection,Google Ads,2026-07-01,UK,Conversions,Carousel,44046,2037,103,1747.38,10299.54
CMP00146,Ramadan Offers,Google Ads,2026-07-22,UAE,Traffic,Image,82811,1884,149,3662.48,31759.99
CMP00147,Black Friday,Google Ads,2026-04-12,USA,Conversions,Image,385879,22734,1900,28842.55,417484.97
CMP00148,Free Shipping,TikTok,2026-03-30,Egypt,Lead Generation,Story,77284,5475,652,3935.92,80443.57
CMP00149,Free Shipping,LinkedIn,2026-02-09,USA,Conversions,Image,169448,2939,162,13460.71,30168.54
CMP00150,Free Shipping,TikTok,2026-03-12,Egypt,Awareness,Video,75625,3923,376,1434.27,94697.57
CMP00151,Summer Sale,Google Ads,2026-01-21,Saudi Arabia,Awareness,Image,33835,2576,303,1253.01,33302.86
CMP00152,Brand Awareness,Meta,2026-03-04,UK,Awareness,Carousel,431888,28310,1892,19210.54,381181.91
CMP00153,Winter Collection,LinkedIn,2026-06-05,UK,Lead Generation,Video,85323,2426,268,6957.23,105688.36
CMP00154,Ramadan Offers,Google Ads,2026-04-30,UAE,Conversions,Carousel,74236,1860,83,1817.79,10037.34
CMP00155,Flash Sale,LinkedIn,2026-07-04,Saudi Arabia,Traffic,Carousel,173952,3346,108,18031.76,24486.27
CMP00156,Free Shipping,LinkedIn,2026-04-28,Egypt,Conversions,Story,136211,2878,170,3237.83,40423.93
CMP00157,Eid Offers,LinkedIn,2026-02-04,UAE,Conversions,Image,472660,11738,718,25322.74,28343.68
CMP00158,Eid Offers,Google Ads,2026-05-10,UAE,Awareness,Image,246115,15340,754,22441.88,145924.63
CMP00159,Free Shipping,Meta,2026-08-29,UK,Awareness,Carousel,201683,12428,470,9699.53,66654.49
CMP00160,New Product Launch,Google Ads,2026-06-05,UAE,Lead Generation,Story,478258,20882,1167,30167.0,136515.03
CMP00161,Flash Sale,TikTok,2026-03-18,USA,Awareness,Story,258980,17139,1055,13704.62,380889.69
CMP00162,Flash Sale,Meta,2026-05-28,USA,Lead Generation,Carousel,129298,7642,700,3372.52,176316.29
CMP00163,Flash Sale,LinkedIn,2026-08-31,Saudi Arabia,Traffic,Image,377274,4995,63,17357.25,6103.53
CMP00164,New Product Launch,LinkedIn,2026-05-13,USA,Lead Generation,Image,118706,5587,836,7113.14,167020.22
CMP00165,Black Friday,LinkedIn,2026-06-06,USA,Awareness,Carousel,263849,5123,228,17587.73,32111.12
CMP00166,Winter Collection,TikTok,2026-05-03,UAE,Traffic,Story,192873,9072,1277,10746.38,172281.7
CMP00167,Black Friday,LinkedIn,2026-01-11,UK,Awareness,Video,160801,12325,259,15690.77,72381.55
CMP00168,New Product Launch,Google Ads,2026-01-28,Saudi Arabia,Awareness,Carousel,332792,20156,876,7003.51,234624.45
CMP00169,Winter Collection,Google Ads,2026-07-03,Egypt,Conversions,Story,257675,3231,380,4544.69,100636.44
CMP00170,Black Friday,LinkedIn,2026-03-24,UK,Lead Generation,Video,159639,8531,1169,4319.74,260194.69
CMP00171,Summer Sale,Meta,2026-08-03,Saudi Arabia,Lead Generation,Video,218139,13982,504,13892.23,136684.38
CMP00172,Winter Collection,Meta,2026-03-14,Egypt,Awareness,Image,248209,19653,1691,11691.71,677523.63
CMP00173,Winter Collection,LinkedIn,2026-02-11,UAE,Traffic,Image,393317,15503,713,13858.06,224715.01
CMP00174,Free Shipping,Google Ads,2026-03-25,Saudi Arabia,Lead Generation,Story,55475,1945,45,5027.75,10672.86
CMP00175,Brand Awareness,Meta,2026-07-12,UAE,Lead Generation,Video,149981,11481,600,9296.93,28536.22
CMP00176,Black Friday,Google Ads,2026-02-10,Egypt,Conversions,Story,222555,12564,1749,18608.53,543004.08
CMP00177,New Product Launch,TikTok,2026-05-03,UAE,Traffic,Video,90313,3533,524,3193.2,168415.65
CMP00178,Free Shipping,Google Ads,2026-06-30,Saudi Arabia,Conversions,Story,199679,2168,192,4366.26,40408.68
CMP00179,Back to School,Google Ads,2026-06-24,Saudi Arabia,Awareness,Story,117689,6916,542,9937.89,70793.32
CMP00180,Flash Sale,Google Ads,2026-01-15,USA,Lead Generation,Story,302970,12021,1478,21606.36,286206.77
CMP00181,Eid Offers,Google Ads,2026-03-30,USA,Conversions,Image,377203,3689,550,32858.18,42556.34
CMP00182,New Product Launch,Meta,2026-07-16,UAE,Lead Generation,Video,346343,27144,2725,14658.46,880890.07
CMP00183,Winter Collection,LinkedIn,2026-01-31,UK,Conversions,Video,103571,8230,535,3134.14,220629.78
CMP00184,Free Shipping,Meta,2026-04-08,UAE,Lead Generation,Story,441677,9816,731,11078.54,88149.64
CMP00185,Ramadan Offers,Meta,2026-02-22,Egypt,Lead Generation,Image,45279,569,8,2438.55,1505.19
CMP00186,Free Shipping,Meta,2026-02-25,UK,Lead Generation,Video,405515,28296,506,19364.65,78045.84
CMP00187,Black Friday,TikTok,2026-08-13,USA,Awareness,Video,85109,6717,557,3208.04,72165.87
CMP00188,Winter Collection,Google Ads,2026-08-30,UK,Lead Generation,Image,347282,19222,2306,14264.75,307801.51
CMP00189,Ramadan Offers,LinkedIn,2026-03-18,Saudi Arabia,Lead Generation,Video,459598,26688,3277,44487.08,899532.3
CMP00190,Ramadan Offers,Google Ads,2026-03-26,UK,Traffic,Carousel,349060,3815,278,15703.53,68602.32
CMP00191,Back to School,Meta,2026-02-18,UAE,Lead Generation,Image,431868,26830,2988,22165.75,688508.62
CMP00192,Ramadan Offers,TikTok,2026-07-09,UAE,Conversions,Video,71507,4363,504,4790.6,144597.35
CMP00193,Eid Offers,LinkedIn,2026-04-30,Saudi Arabia,Awareness,Carousel,289786,15548,826,14457.41,253807.97
CMP00194,Winter Collection,LinkedIn,2026-04-16,UAE,Traffic,Carousel,33968,1602,65,1081.22,9903.51
CMP00195,Winter Collection,LinkedIn,2026-02-28,UAE,Traffic,Video,209145,9983,443,13809.7,132931.28
CMP00196,Winter Collection,LinkedIn,2026-02-13,UK,Lead Generation,Video,83378,4921,385,8085.83,86919.74
CMP00197,Summer Sale,Meta,2026-07-15,USA,Conversions,Image,13346,479,61,400.96,11155.53
CMP00198,Brand Awareness,LinkedIn,2026-01-05,UAE,Conversions,Story,13466,604,40,281.62,10781.52
CMP00199,Back to School,TikTok,2026-08-24,Egypt,Lead Generation,Video,60496,2681,117,3010.11,12626.91
CMP00200,Brand Awareness,LinkedIn,2026-05-25,Egypt,Awareness,Story,137510,10900,453,10629.73,149840.21
CMP00201,Eid Offers,meta,2026-05-22,Egypt,Lead Generation,Story,259563,2390,27,6784.96,5055.08
CMP00202,Ramadan Offers,TikTok,2026-02-24,USA,Conversions,Image,482526,33829,4541,19936.41,184056.69
CMP00203,Winter Collection,TikTok,2026-01-05,USA,Conversions,Video,118610,5815,670,6546.51,81724.26
CMP00204,Free Shipping,Google Ads,2026-03-26,USA,Traffic,Story,211245,13027,385,19252.6,101877.36
CMP00205,Ramadan Offers,TikTok,2026-08-03,Egypt,Conversions,Story,49855,1522,179,3457.9,33961.31
CMP00206,Ramadan Offers,Meta,2026-04-02,UAE,Lead Generation,Story,299951,22672,1597,17751.15,293772.91
CMP00207,Black Friday,TikTok,2026-02-09,Saudi Arabia,Conversions,Image,209229,12213,1205,11877.9,127190.73
CMP00208,Black Friday,Meta,2026-01-27,UAE,Lead Generation,Carousel,79471,917,64,4069.24,9697.53
CMP00209,Eid Offers,Meta,2026-01-04,UAE,Conversions,Carousel,163012,5874,699,10125.47,193316.95
CMP00210,New Product Launch,Google Ads,2026-02-05,USA,Traffic,Story,150990,4165,329,3318.64,54771.01
CMP00211,Ramadan Offers,LinkedIn,2026-07-04,Egypt,Awareness,Carousel,337697,14245,1372,19650.35,79211.31
CMP00212,Brand Awareness,LinkedIn,2026-03-27,UAE,Lead Generation,Carousel,235766,15598,2032,24006.18,149055.21
CMP00213,Eid Offers,Google Ads,2026-03-23,UK,Awareness,Video,162802,9786,964,14585.48,243804.24
CMP00214,Flash Sale,TikTok,2026-02-21,UK,Awareness,Image,320497,25574,899,18718.83,49386.24
CMP00215,Eid Offers,Google Ads,2026-06-22,UK,Awareness,Image,271778,4195,219,9821.5,18338.08
CMP00216,Flash Sale,LinkedIn,2026-04-13,Egypt,Lead Generation,Story,290162,12475,1732,22617.95,424174.48
CMP00217,Ramadan Offers,TikTok,2026-06-18,USA,Conversions,Image,358491,11337,1140,5768.61,435077.07
CMP00218,Summer Sale,LinkedIn,2026-01-26,UAE,Lead Generation,Image,145653,3153,361,9707.84,76098.49
CMP00219,Winter Collection,TikTok,2026-01-07,UK,Lead Generation,Video,263111,3378,230,18354.91,22096.43
CMP00220,Brand Awareness,Google Ads,2026-07-20,UAE,Awareness,Carousel,118458,5222,306,2907.83,78425.03
CMP00221,Summer Sale,Meta,2026-08-06,UAE,Conversions,Image,189871,10176,1066,4876.46,311269.57
CMP00222,Free Shipping,Google Ads,2026-04-20,USA,Traffic,Carousel,252249,5647,376,7829.25,86041.93
CMP00223,Flash Sale,Meta,2026-04-20,USA,Traffic,Story,213861,1140,45,7077.18,13680.76
CMP00224,Winter Collection,Meta,2026-02-20,USA,Traffic,Carousel,249888,3385,351,11698.87,105802.59
CMP00225,Winter Collection,LinkedIn,2026-04-01,USA,Lead Generation,Image,453294,17832,609,34639.94,219597.04
CMP00226,Ramadan Offers,Meta,2026-03-20,Saudi Arabia,Awareness,Image,71314,1335,142,3437.59,18856.43
CMP00227,Free Shipping,LinkedIn,2026-06-27,UK,Traffic,Story,491905,26265,3939,32657.63,592412.69
CMP00228,Summer Sale,TikTok,2026-05-05,UK,Conversions,Carousel,81583,1601,102,3781.58,23381.8
CMP00229,New Product Launch,LinkedIn,2026-01-22,UK,Lead Generation,Story,306431,2241,261,13538.61,33415.74
CMP00230,Flash Sale,Google Ads,2026-01-30,UK,Lead Generation,Image,150450,9498,1189,6721.04,254293.65
CMP00231,Back to School,LinkedIn,2026-07-08,USA,Traffic,Story,445196,24051,1073,41590.85,46007.13
CMP00232,Ramadan Offers,Meta,2026-07-27,UK,Conversions,Video,396721,19476,1150,24278.93,217154.56
CMP00233,Flash Sale,Google Ads,2026-03-31,Saudi Arabia,Traffic,Image,289068,7539,644,11979.88,145294.78
CMP00234,Eid Offers,TikTok,2026-08-24,USA,Conversions,Video,41082,3263,428,859.56,112201.07
CMP00235,New Product Launch,TikTok,2026-05-28,Saudi Arabia,Lead Generation,Story,341560,8591,584,13642.42,169562.74
CMP00236,Brand Awareness,Meta,2026-05-05,UK,Awareness,Carousel,181593,8833,1162,12723.47,102703.62
CMP00237,Eid Offers,TikTok,2026-07-31,Egypt,Lead Generation,Video,121071,5097,281,3643.05,45857.83
CMP00238,Back to School,LinkedIn,2026-06-10,UAE,Conversions,Image,420983,28522,350,41271.94,30328.76
CMP00239,New Product Launch,LinkedIn,2026-08-12,Saudi Arabia,Traffic,Carousel,499016,35302,814,24929.24,58624.71
CMP00240,Ramadan Offers,Google Ads,2026-04-20,Egypt,Lead Generation,Carousel,353663,4187,97,11742.75,6573.43
CMP00241,Back to School,LinkedIn,2026-08-09,Egypt,Conversions,Carousel,231414,13202,1014,8989.51,81240.92
